ORIGIN_SZ_C,DEST_SZ_C,O_TOTAL_POP,D_TOTAL_POP,O_MONTHLY_INCOME,D_MONTHLY_INCOME,TRIPS,FlowNoIntra,offset,dist
AMSZ01,NVSZ04,4090,3160,101.2,23.8,664,664,1,5948.626735702653
AMSZ01,NVSZ05,4090,610,101.2,23.8,84,84,1,4742.826972924617
AMSZ01,ORSZ02,4090,190,101.2,21.5,322,322,1,7619.052226268926
AMSZ01,OTSZ03,4090,8660,101.2,11.7,4116,4116,1,10267.252974100082
AMSZ01,OTSZ04,4090,1220,101.2,11.7,601,601,1,9772.958596122588
AMSZ01,PGSZ02,4090,16380,101.2,60.4,188,188,1,7299.477997026436
AMSZ01,PGSZ03,4090,39010,101.2,60.4,2862,2862,1,6494.367874758793
AMSZ01,PGSZ04,4090,38980,101.2,60.4,2567,2567,1,7571.866034188577
AMSZ01,PGSZ05,4090,36770,101.2,60.4,2627,2627,1,8190.891668614194
AMSZ01,PRSZ02,4090,30470,101.2,78,730,730,1,10374.714259345286
AMSZ01,PRSZ03,4090,27050,101.2,78,2008,2008,1,11254.403759667954
AMSZ01,QTSZ08,4090,600,101.2,49.2,2,2,1,10316.121295786586
AMSZ01,QTSZ10,4090,9260,101.2,49.2,26,26,1,10681.340122890218
AMSZ01,QTSZ14,4090,2510,101.2,49.2,31,31,1,12021.708698639917
AMSZ01,RCSZ01,4090,2230,101.2,21.5,6682,6682,1,7058.035771815991
AMSZ01,RCSZ02,4090,2940,101.2,21.5,2090,2090,1,7340.768486491481
AMSZ01,RCSZ03,4090,1790,101.2,21.5,1064,1064,1,7497.373509962723
AMSZ01,RCSZ05,4090,50,101.2,21.5,220,220,1,7926.900139463013
AMSZ01,RCSZ10,4090,1520,101.2,21.5,2636,2636,1,8112.85745851583
AMSZ01,SBSZ02,4090,7610,101.2,47.3,844,844,1,7920.052576057486
AMSZ01,SBSZ04,4090,21090,101.2,47.3,585,585,1,9936.466785925904
AMSZ01,SBSZ05,4090,11270,101.2,47.3,1102,1102,1,9234.550014776745
AMSZ01,SESZ02,4090,49890,101.2,124.3,12062,12062,1,6680.625746800078
AMSZ01,SESZ03,4090,50520,101.2,124.3,12320,12320,1,6032.610986914454
AMSZ01,SESZ04,4090,38880,101.2,124.3,12593,12593,1,5290.39742324946
AMSZ01,SESZ05,4090,16050,101.2,124.3,1900,1900,1,4986.379374290325
AMSZ01,SESZ06,4090,45180,101.2,124.3,30408,30408,1,4129.798829567304
AMSZ01,SGSZ01,4090,12720,101.2,68.2,28462,28462,1,2476.4589937684295
AMSZ01,SGSZ03,4090,13700,101.2,68.2,89309,89309,1,2962.403937547983
AMSZ01,SGSZ04,4090,31420,101.2,68.2,37461,37461,1,2471.8846168210553
AMSZ01,SGSZ05,4090,7230,101.2,68.2,257,257,1,3248.540475462824
AMSZ01,SGSZ06,4090,21840,101.2,68.2,30827,30827,1,3494.106570820188
AMSZ01,SGSZ07,4090,15240,101.2,68.2,6644,6644,1,4440.283226276633
AMSZ01,SLSZ04,4090,210,101.2,21.5,940,940,1,5569.6263879715625
AMSZ01,SRSZ03,4090,30,101.2,21.5,511,511,1,9445.991889353345
AMSZ01,TMSZ02,4090,111460,101.2,152.8,2717,2717,1,11796.242892122571
AMSZ01,TMSZ03,4090,68390,101.2,152.8,1423,1423,1,10275.587718929553
AMSZ01,TMSZ04,4090,33490,101.2,152.8,859,859,1,12445.916388898991
AMSZ01,TMSZ05,4090,1510,101.2,152.8,29,29,1,14434.575685370786
AMSZ01,TPSZ01,4090,12450,101.2,68.9,3684,3684,1,3674.7575327065924
AMSZ01,TPSZ02,4090,23640,101.2,68.9,3498,3498,1,4438.162789107757
AMSZ01,TPSZ03,4090,8460,101.2,68.9,51,51,1,3577.3376082000254
AMSZ01,TPSZ04,4090,13070,101.2,68.9,300,300,1,4203.898156039683
AMSZ01,TPSZ05,4090,6300,101.2,68.9,304,304,1,3707.5515504868135
